features,location,price
 160 m²  160 m²  3 hab.  2 baños ,"Llano Chico, Quito",USD 92.000
 142 m²  142 m²  3 hab.  2 baños  2 estac. ,"La Armenia, Quito",USD 105.000
 190 m²  190 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 160.000
 1981 m²  290 m²  2 baños  20 estac. ,"San Rafael, Quito",USD 540.000
 164 m²  237 m²  3 hab.  4 baños  2 estac. ,"Sangolqui, Quito",USD 150.000
 125 m²  125 m²  3 hab.  2 baños ,"Norte de Quito, Quito",USD 78.000
 117 m²  117 m²  3 hab.  2 baños ,"Mitad del Mundo, Quito",USD 101.900
 670 m²  941 m²  4 hab.  5 baños  4 estac. ,"Monteserrín, Quito",USD 886.000
 419 m²  311 m²  3 hab.  3 baños  4 estac. ,"Cumbayá, Quito",USD 370.000
 305 m²  191 m²  4 hab.  4 baños  2 estac. ,"Cumbayá, Quito",USD 220.000
 315 m²  284 m²  4 hab.  3 baños  2 estac. ,"Norte de Quito, Quito",USD 215.000
 500 m²  304 m²  3 hab.  3 baños  2 estac. ,"Nayón - Tanda, Quito",USD 400.000
 262 m²  171 m²  2 baños  2 estac. ,"Los Chillos, Quito",USD 144.500
 532 m²  322 m²  4 hab.  3 baños  4 estac. ,"Tumbaco, Quito",USD 432.000
 156 m²  118 m²  3 hab.  2 baños  2 estac. ,"Conocoto, Quito",USD 109.900
 350 m²  270 m²  3 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 360.000
 295 m²  150 m²  2 baños  3 estac. ,"Puembo, Quito",USD 159.000
 329 m²  188 m²  4 hab.  2 baños  3 estac. ,"San Gabriel, Quito",USD 150.000
 350 m²  200 m²  3 hab.  3 baños  2 estac. ,"Los Chillos, Quito",USD 220.000
 293 m²  192 m²  3 hab.  2 baños  2 estac. ,"Tumbaco, Quito",USD 240.000
 420 m²  420 m²  3 hab.  3 baños  2 estac. ,"Checa, Quito",USD 730.000
 1248 m²  477 m²  5 hab.  5 baños  4 estac. ,"Cumbayá, Quito",USD 890.000
 517 m²  350 m²  3 hab.  5 baños  4 estac. ,"Los Chillos, Quito",USD 340.000
 170 m²  170 m²  3 hab.  3 baños  2 estac. ,"Tumbaco, Quito",USD 175.000
 151 m²  151 m²  3 hab.  2 baños  1 estac. ,"Cumbayá, Quito",USD 164.900
 305 m²  260 m²  4 hab.  3 baños  2 estac. ,"Cumbayá, Quito",USD 220.000
 2200 m²  2000 m²  5 hab.  7 baños  6 estac. ,"Cumbayá, Quito",USD 4.100.000
 780 m²  768 m²  3 hab.  4 baños  2 estac. ,"Puembo, Quito",USD 1.490.000
